District,Rating,Representative,STATEFP,CD115FP,AFFGEOID
CA-30,Solid Democratic, Brad Sherman,6,30,5001500US0630
CA-32,Solid Democratic, Grace Napolitano,6,32,5001500US0632
CA-38,Solid Democratic, Linda Sánchez,6,38,5001500US0638
CA-40,Solid Democratic, Lucille Roybal-Allard,6,40,5001500US0640
CA-46,Solid Democratic, Lou  Correa,6,46,5001500US0646
CA-51,Solid Democratic, Juan Vargas,6,51,5001500US0651
FL-20,Solid Democratic, Alcee Hastings,12,20,5001500US1220
FL-24,Solid Democratic, Frederica Wilson,12,24,5001500US1224
GA-02,Solid Democratic, Sanford Bishop,13,2,5001500US1302
GA-05,Solid Democratic, John Lewis,13,5,5001500US1305
GA-13,Solid Democratic, David Scott,13,13,5001500US1313
IL-01,Solid Democratic, Bobby Rush,17,1,5001500US1701
IL-02,Solid Democratic, Robin Kelly,17,2,5001500US1702
IL-03,Solid Democratic, Daniel Lipinski,17,3,5001500US1703
MA-01,Solid Democratic, Richard Neal,25,1,5001500US2501
MA-08,Solid Democratic, Stephen Lynch,25,8,5001500US2508
MO-01,Solid Democratic, Lacy Clay,29,1,5001500US2901
MS-02,Solid Democratic, Bennie Thompson,28,2,5001500US2802
NJ-08,Solid Democratic, Albio Sires,34,8,5001500US3408
NJ-10,Solid Democratic, Donald Payne,34,10,5001500US3410
NY-05,Solid Democratic, Gregory Meeks,36,5,5001500US3605
NY-16,Solid Democratic, Eliot Engel,36,16,5001500US3616
NY-17,Solid Democratic, Nita Lowey,36,17,5001500US3617
OR-01,Solid Democratic, Suzanne Bonamici,41,1,5001500US4101
PA-02,Solid Democratic, Brendan Boyle,42,2,5001500US4202
PA-18,Solid Democratic, Michael Doyle,42,18,5001500US4218
SC-06,Solid Democratic, James Clyburn,45,6,5001500US4506
TX-09,Solid Democratic, Al Green,48,9,5001500US4809
TX-15,Solid Democratic, Vicente  Gonzalez,48,15,5001500US4815
TX-28,Solid Democratic, Henry Cuellar,48,28,5001500US4828
TX-30,Solid Democratic, Eddie Johnson,48,30,5001500US4830
TX-34,Solid Democratic, Filemon Vela,48,34,5001500US4834
WA-10,Solid Democratic, Denny Heck,53,10,5001500US5310
FL-11,Solid Republican, Daniel Webster,12,11,5001500US1211
GA-08,Solid Republican, Austin Scott,13,8,5001500US1308
GA-10,Solid Republican, Jody Hice,13,10,5001500US1310
KY-05,Solid Republican, Harold Rogers,21,5,5001500US2105
OK-03,Solid Republican, Frank Lucas,40,3,5001500US4003
WY-00,Solid Republican, Liz Cheney,56,0,5001500US5600
